Dataset,GFLOPS,gpu,BW,Ap_proj,C_proj,R_proj,Tot_proj,Ap_bproj,C_bproj,R_bproj,Tot_bproj,Nodes
CDS1,44.328428,K80,156.909514,0.526824,0.03100338,0.01497819,0.592138,0.2578116,0.01579479,0.007755545,0.2860573,1
CDS1,80.73147,K80,292.197419,0.3057449,0.2083813,0.02082763,0.541125,0.1469903,0.1068537,0.01114797,0.2677157,2
CDS1,146.716606,K80,536.780147,0.1545772,0.2751694,0.01839301,0.4521459,0.07233133,0.1418365,0.008770555,0.2246862,4
CDS1,44.462454,K80,157.383928,0.5251446,0.03174778,0.01490998,0.5815112,0.2571258,0.01597319,0.007790549,0.2857165,1
CDS1,84.269693,K80,305.003573,0.2718793,0.2004238,0.01953622,0.497559,0.1309572,0.09967876,0.01203253,0.2453341,2
CDS1,156.101971,K80,571.117619,0.1412803,0.2914698,0.02001591,0.4566852,0.0661744,0.1586142,0.009150151,0.2356479,4
CDS1,44.495653,K80,157.501439,0.5247522,0.03101039,0.01480329,0.5802248,0.2569346,0.0157304,0.007691948,0.2849601,1
CDS1,85.535336,K80,309.584407,0.2751053,0.2069338,0.02087782,0.5086348,0.1320584,0.09706777,0.01272008,0.2445007,2
CDS1,148.454565,K80,543.138674,0.1763917,0.258169,0.01974562,0.4582608,0.0828472,0.1492449,0.007806948,0.2418345,4
CDS1,44.497226,K80,157.50701,0.5247182,0.03091798,0.01511159,0.5803746,0.2569409,0.01582999,0.008263751,0.2856606,1
CDS1,83.711826,K80,302.98444,0.2836814,0.2062146,0.0179016,0.5143224,0.1363633,0.1034282,0.01363218,0.2561301,2
CDS1,147.113365,K80,538.231736,0.1580159,0.3921036,0.02724036,0.5809964,0.07403382,0.1716608,0.01053636,0.2579294,4
CDS1,44.381092,K80,157.095928,0.5261653,0.03160268,0.01498699,0.5825013,0.2575392,0.01566119,0.007748141,0.285565,1
CDS1,84.694007,K80,306.539323,0.2786197,0.204581,0.0163306,0.5053579,0.133206,0.1066982,0.01165917,0.261544,2
CDS1,154.499261,K80,565.253916,0.176429,0.2351329,0.01797051,0.4331893,0.08282717,0.1576779,0.009557656,0.2518118,4
CDS2,40.674048,K80,156.51545,1.221221,0.03161589,0.01480809,1.302218,0.4890487,0.0161309,0.007730143,0.5292887,1
CDS2,79.786981,K80,311.291578,0.6189345,0.1957601,0.01627811,0.8506493,0.2468026,0.08778836,0.01311223,0.3568023,2
CDS2,150.984517,K80,590.894218,0.2666565,0.4100809,0.0332144,0.7198258,0.1190012,0.1417338,0.008828968,0.274247,4
CDS2,40.672489,K80,156.50945,1.221299,0.03211964,0.01493692,1.302985,0.4890356,0.01621772,0.007731907,0.5294091,1
CDS2,79.791067,K80,311.307523,0.6184274,0.1874271,0.03023081,0.8542441,0.2460155,0.08358964,0.01178201,0.3499397,2
CDS2,149.215646,K80,583.97155,0.2673908,0.4284128,0.03244511,0.7380721,0.1194332,0.149019,0.008486303,0.2816668,4
CDS2,40.669853,K80,156.499306,1.221271,0.03160961,0.0147941,1.302165,0.4891749,0.015839,0.007724905,0.5293171,1
CDS2,79.849206,K80,311.534355,0.6173628,0.2240172,0.0169696,0.8771445,0.2459153,0.09981722,0.0141946,0.3713582,2
CDS2,156.174652,K80,611.20637,0.2673865,0.4437586,0.03884661,0.7598736,0.1194493,0.1593047,0.009740304,0.2931909,4
CDS2,40.671472,K80,156.505537,1.221235,0.0318752,0.0148826,1.302553,0.4891422,0.0163642,0.007871302,0.5297683,1
CDS2,79.838454,K80,311.492403,0.6178061,0.1958204,0.01884421,0.8506984,0.2464181,0.08448912,0.0124133,0.3519167,2
CDS2,155.144581,K80,607.175077,0.2673625,0.4692975,0.03553881,0.7825571,0.1193707,0.2317778,0.0111363,0.3672059,4
CDS2,40.667091,K80,156.48868,1.221357,0.03214969,0.01485288,1.303165,0.4892051,0.01586959,0.007874848,0.529411,1
CDS2,79.759631,K80,311.184874,0.6196662,0.2022653,0.01361118,0.8537255,0.2465682,0.1006403,0.01308678,0.3690461,2
CDS2,144.449172,K80,565.317439,0.2962068,0.4113733,0.02906227,0.7465173,0.132541,0.1550679,0.009342957,0.301627,4
